model,image_index,global_mse,patch_mean_mse,top10_patch_mse,top25_patch_mse,max_patch_mse,patch_mse_std,patch_mse_cv,worst_global_ratio,max_global_ratio,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst
No-crop Global,10,0.0005590834771282971,0.000559083535335958,0.0009611612185835838,0.0008477893425151706,0.0010938170598819852,0.00019796419655904174,0.3540869951248169,1.516391396522522,1.9564467668533325,0.9619899392127991,0.9505350589752197,0.0013705190503969789,0.002688542939722538
No-crop Global,11,0.0006965696811676025,0.0006965696229599416,0.0010748212225735188,0.0009956295834854245,0.0010955841280519962,0.00021473324159160256,0.30827245116233826,1.4293323755264282,1.572827696800232,0.9171003103256226,0.9086881279945374,0.0021238531917333603,0.0032770680263638496
No-crop Global,12,0.0005029764724895358,0.0005029764724895358,0.0007288962369784713,0.0006768618477508426,0.000770344166085124,0.00011294993601040915,0.22456306219100952,1.3457127809524536,1.5315710306167603,0.9392504096031189,0.9219582080841064,0.005999334622174501,0.016253996640443802
No-crop Global,13,0.0009669747669249773,0.0009669748251326382,0.0015469775535166264,0.0013685171725228429,0.001667600474320352,0.00028273157658986747,0.2923877537250519,1.415256381034851,1.7245543003082275,0.9664397835731506,0.9640352725982666,0.0017197949346154928,0.0019329990027472377
No-crop Global,14,0.00063114776276052,0.0006311478209681809,0.0008988077752292156,0.0008669117814861238,0.0009188640397042036,0.00015077446005307138,0.23888932168483734,1.3735480308532715,1.455862045288086,0.9029079079627991,0.8653550744056702,0.0036100782454013824,0.0069700125604867935
No-crop Global,15,0.0007852352573536336,0.0007852353155612946,0.0010005378862842917,0.000974294904153794,0.0010190218454226851,0.00016547767154406756,0.21073642373085022,1.2407681941986084,1.2977280616760254,0.9686794281005859,0.9666004776954651,0.0008888054289855063,0.001978930551558733
No-crop Global,16,0.000699613883625716,0.0006996138254180551,0.0017820699140429497,0.0012712047901004553,0.002190797822549939,0.0004572499601636082,0.6535747647285461,1.8170090913772583,3.1314384937286377,0.9432435631752014,0.8978942036628723,0.002923114923760295,0.005376368295401335
No-crop Global,17,0.00048623140901327133,0.00048623140901327133,0.0006873959791846573,0.0006149242399260402,0.0007180178654380143,9.686502744443715e-05,0.19921590387821198,1.2646740674972534,1.4766998291015625,0.9156129360198975,0.9020279049873352,0.001302866032347083,0.0020007099956274033
No-crop Global,18,0.0007846523076295853,0.0007846523076295853,0.001083564362488687,0.0010317600099369884,0.0011183138703927398,0.00019338331185281277,0.2464573234319687,1.3149263858795166,1.4252349138259888,0.9725650548934937,0.9658711552619934,0.0008933843346312642,0.0012041310546919703
No-crop Global,19,0.0014637516578659415,0.0014637516578659415,0.0024468814954161644,0.002159141469746828,0.002889718161895871,0.0005072364001534879,0.3465317487716675,1.4750735759735107,1.9741860628128052,0.9596019983291626,0.9511894583702087,0.0010479186894372106,0.0010955416364595294
No-crop Global,20,0.0005748952971771359,0.0005748952971771359,0.0009053110261447728,0.0007981528760865331,0.000912632152903825,0.00015751471801195294,0.2739885449409485,1.3883447647094727,1.5874754190444946,0.9591730833053589,0.9471052289009094,0.0011987427715212107,0.001362194656394422
