method,image_index,crop_ratio,repeat,protected_bits,raw_ber,raw_bit_accuracy,detection_success,exact_decode_success,ecc_corrected_success,schema,logit_mean,logit_abs_mean
TrustMark Q,9,100%,4,100,0.01,0.99,1,1,1,1,-0.04636622592806816,6.57575798034668
TrustMark Q,9,70%,0,100,0.04,0.96,1,1,1,1,0.11233091354370117,4.301029205322266
TrustMark Q,9,70%,1,100,0.03,0.97,1,1,1,1,0.1300782561302185,4.575366020202637
TrustMark Q,9,70%,2,100,0.02,0.98,1,1,1,1,-0.4190458059310913,5.041299819946289
TrustMark Q,9,70%,3,100,0.05,0.95,1,1,1,1,0.1370575875043869,4.3927483558654785
TrustMark Q,9,70%,4,100,0.03,0.97,1,1,1,1,-0.31566861271858215,4.9550323486328125
TrustMark Q,9,50%,0,100,0.16,0.84,0,0,0,-1,0.18978063762187958,2.4101717472076416
TrustMark Q,9,50%,1,100,0.09,0.91,0,0,0,-1,0.023171447217464447,2.5375185012817383
TrustMark Q,9,50%,2,100,0.09,0.91,0,0,0,-1,0.09062144160270691,2.723801374435425
TrustMark Q,9,50%,3,100,0.11,0.89,0,0,0,-1,-0.00910951104015112,2.097379684448242
TrustMark Q,9,50%,4,100,0.16,0.84,0,0,0,-1,-0.20996174216270447,1.93275785446167
TrustMark Q,9,40%,0,100,0.25,0.75,0,0,0,-1,0.011188583448529243,1.3600857257843018
TrustMark Q,9,40%,1,100,0.18,0.8200000000000001,0,0,0,-1,0.05578170716762543,1.8728342056274414
TrustMark Q,9,40%,2,100,0.22,0.78,0,0,0,-1,0.09529358148574829,1.3903107643127441
TrustMark Q,9,40%,3,100,0.25,0.75,0,0,0,-1,0.045287519693374634,1.33734130859375
TrustMark Q,9,40%,4,100,0.14,0.86,0,0,0,-1,0.070600226521492,1.673416256904602
TrustMark Q,9,30%,0,100,0.24,0.76,1,0,0,3,-0.026583731174468994,0.9497828483581543
TrustMark Q,9,30%,1,100,0.31,0.69,0,0,0,-1,-0.14136824011802673,1.1245813369750977
TrustMark Q,9,30%,2,100,0.28,0.72,0,0,0,-1,-0.02398175746202469,1.2671117782592773
TrustMark Q,9,30%,3,100,0.23,0.77,0,0,0,-1,0.049344900995492935,1.0526702404022217
TrustMark Q,9,30%,4,100,0.31,0.69,0,0,0,-1,0.035646744072437286,1.1288647651672363
TrustMark Q,10,100%,0,100,0.0,1.0,1,1,1,1,-0.23934806883335114,10.21474838256836
TrustMark Q,10,100%,1,100,0.0,1.0,1,1,1,1,-0.23934806883335114,10.21474838256836
TrustMark Q,10,100%,2,100,0.0,1.0,1,1,1,1,-0.23934806883335114,10.21474838256836
TrustMark Q,10,100%,3,100,0.0,1.0,1,1,1,1,-0.23934806883335114,10.21474838256836
TrustMark Q,10,100%,4,100,0.0,1.0,1,1,1,1,-0.23934806883335114,10.21474838256836
TrustMark Q,10,70%,0,100,0.0,1.0,1,1,1,1,-0.00852513313293457,8.429736137390137
TrustMark Q,10,70%,1,100,0.0,1.0,1,1,1,1,-0.13929903507232666,8.88571548461914
TrustMark Q,10,70%,2,100,0.0,1.0,1,1,1,1,0.0805460512638092,9.354560852050781
TrustMark Q,10,70%,3,100,0.0,1.0,1,1,1,1,-0.07696086913347244,8.43310260772705
TrustMark Q,10,70%,4,100,0.0,1.0,1,1,1,1,0.040950335562229156,9.306987762451172
TrustMark Q,10,50%,0,100,0.0,1.0,1,1,1,1,-0.1535426676273346,4.923761367797852
TrustMark Q,10,50%,1,100,0.02,0.98,1,1,1,1,-0.19836042821407318,7.174025058746338
TrustMark Q,10,50%,2,100,0.01,0.99,1,1,1,1,-0.08241649717092514,7.072507858276367
