comparison,method,epoch,grid,metric,value
trajectory,Hard stride8 Top10,5,32,global_mse_mean,0.001168226357549429
trajectory,Hard stride8 Top10,5,32,global_psnr,35.34532990751851
trajectory,Hard stride8 Top10,5,32,top10_mean,0.0014865939738228917
trajectory,Hard stride8 Top10,5,32,top10_psnr,34.298676233485665
trajectory,Hard stride8 Top10,5,32,top10_over_mean,1.2600719928741455
trajectory,Hard stride8 Top10,5,32,p95_over_mean,1.231562233097097
trajectory,Hard stride8 Top10,5,32,p99_over_mean,1.2999856096083904
trajectory,Hard stride8 Top10,5,32,max_over_mean,1.3170913457870483
trajectory,Hard stride8 Top10,5,32,cv,0.15414553880691528
trajectory,Hard stride8 Top10,5,32,gini,0.0841559661294724
trajectory,Hard stride8 Top10,5,32,top10_energy_share,0.1575089991092682
trajectory,Hard stride8 Top10,5,32,p50,0.0010717776603996754
trajectory,Hard stride8 Top10,5,32,p75,0.0012886646436527371
trajectory,Hard stride8 Top10,5,32,p90,0.001620611397083849
trajectory,Hard stride8 Top10,5,32,p95,0.0018458842998370516
