method,image_index,global_mse,top25_local_psnr,patch_mse_p95,patch_mse_p99,full_lpips,ciede2000_global,ciede2000_top10,gini,ber30
Hard Local-Tail,9,0.0002778870693873614,34.409899737441926,0.0003798555117100477,0.0003876884002238512,0.00324996211566031,3.62823748588562,5.387155532836914,0.12220540216746985,0.171875
Hard Local-Tail,10,0.00019201240502297878,36.656598733840916,0.00021893779194215313,0.00022251496120588853,0.00274878297932446,4.204596519470215,5.562690258026123,0.05901565217791242,0.140625
Hard Local-Tail,11,0.00020560226403176785,36.32356096070829,0.00023918323495308869,0.00023927298243506812,0.0017464765114709735,3.579124927520752,5.078487396240234,0.055228426247963015,0.121875
Hard Local-Tail,12,0.00017605138418730348,36.75596634131797,0.000220477730181301,0.0002251081466965843,0.0018866114551201463,3.8720133304595947,5.2615766525268555,0.06971411612199693,0.15625
Hard Local-Tail,13,0.00025827670469880104,35.10509854844337,0.0003136341765639372,0.0003300773925730027,0.002321480540558696,3.4104061126708984,4.847738742828369,0.08778366830648131,0.153125
Hard Local-Tail,14,0.0001834642607718706,36.87356595544852,0.00021373536947066896,0.00021495992186828516,0.0024064984172582626,3.0041143894195557,4.3151679039001465,0.0551855068224524,0.134375
Hard Local-Tail,15,0.0002444218844175339,35.43491072957509,0.0002931692943093367,0.0002954075593152083,0.0016455741133540869,3.4972939491271973,5.414008617401123,0.08639564767402272,0.146875
Hard Local-Tail,16,0.0001855322188930586,36.40882787796827,0.0002316252575838007,0.0002511398823116906,0.002222229726612568,3.750082492828369,5.324711322784424,0.09987994738229215,0.065625
Hard Local-Tail,17,0.00018848861509468406,36.604105473527234,0.00022351545703713782,0.00022410150049836374,0.0019421781180426478,2.965432643890381,4.650096416473389,0.07646878671598115,0.04375
Hard Local-Tail,18,0.00025697992532514036,35.082990398654644,0.00032536772050661966,0.0003261966034187935,0.002556618768721819,3.225295066833496,5.3253068923950195,0.09095035756923694,0.0625
Hard Local-Tail,19,0.0004015849845018238,32.77618892427216,0.0005365799806895666,0.0006821129223681054,0.002784603973850608,2.9665892124176025,5.162015438079834,0.13012861571516482,0.078125
Hard Local-Tail,20,0.00018382957205176353,36.831912014791556,0.00020953093917341903,0.00021528446959564462,0.0012979363091289997,3.2462010383605957,4.746673583984375,0.06159910880798725,0.08125
Hard Local-Tail,21,0.0003596565220504999,33.31223246470884,0.0004847794116358273,0.0004923231768771075,0.002782271709293127,3.518433094024658,5.623794078826904,0.13972253685252173,0.06875
Hard Local-Tail,22,0.0002118051634170115,35.500997520516975,0.0002929543552454561,0.00030825258581899104,0.0014686919748783112,3.2514071464538574,4.912910461425781,0.13118719003971158,0.06875
Hard Local-Tail,23,0.00022281733981799334,35.88932649217113,0.00026176232495345175,0.0002627694106195122,0.0015034774551168084,2.8891875743865967,5.055550575256348,0.0685056546452784,0.071875
Hard Local-Tail,24,0.0001997150102397427,36.35858494186746,0.0002373088318563532,0.00023767699822201392,0.0015282294480130076,3.0708374977111816,4.5236616134643555,0.06236429248098635,0.084375
Hard Local-Tail,25,0.00022701612033415586,35.03697466516488,0.0003367831959621981,0.0003652076615253463,0.0022899440955370665,3.6055755615234375,5.124611854553223,0.1379905163565914,0.075
Hard Local-Tail,26,0.00024381534603890032,35.01486279976691,0.0003243828468839638,0.0003249492365284823,0.0034822034649550915,4.304143905639648,5.962524890899658,0.12167276820639678,0.05625
Hard Local-Tail,27,0.0002200753806391731,36.158344268326,0.00024452334764646366,0.0002542449059546925,0.0010995774064213037,3.056133985519409,5.304442405700684,0.05602701037367272,0.05625
Hard Local-Tail,28,0.00021131639368832111,35.87615804039644,0.0002695792936719954,0.0002737203030847013,0.003198163351044059,3.579120635986328,5.000505447387695,0.0805427812767368,0.096875
Hard Local-Tail,29,0.00017268741794396192,36.61278732556403,0.00022797146448283456,0.00023055584097164683,0.002003946341574192,3.6729702949523926,5.079160690307617,0.10115276676621865,0.096875
Hard Local-Tail,30,0.00018106104107573628,36.81627261082946,0.00021042570006102324,0.00021858824184164404,0.0020389435812830925,3.8993520736694336,5.167708873748779,0.06995418046326055,0.065625
Hard Local-Tail,31,0.0001930041325977072,36.47711301324901,0.00023126553787733428,0.00023448679930879735,0.0017051303293555975,3.2543914318084717,4.641653537750244,0.0685299276597715,0.046875
Hard Local-Tail,32,0.000189632861292921,36.75403123117108,0.00021294927501003258,0.00021762828910141253,0.0018290149746462703,3.3008804321289062,4.622834205627441,0.04722673860633455,0.071875
Hard Local-Tail,33,0.00019037137099076062,36.64140260679765,0.00021819071844220161,0.00022460105828940867,0.0029071401804685593,4.188820838928223,5.605508804321289,0.059245980079518326,0.11875
Hard Local-Tail,34,0.00019076972967013717,36.63483608519535,0.00021997619114699773,0.00022391833117580974,0.0013396653812378645,3.8891677856445312,5.4690117835998535,0.05790034437275189,0.14375
Hard Local-Tail,35,0.00029758125310763717,33.206566474888575,0.0005000431920052506,0.0005874455047887749,0.002279864624142647,3.6111462116241455,5.724216938018799,0.247376588143947,0.15
Hard Local-Tail,36,0.00018759073282126337,36.77231322593811,0.00021196581292315386,0.00021734988476964645,0.0017174403183162212,3.793592691421509,5.28894567489624,0.054361639175417725,0.125
Hard Local-Tail,37,0.00028796237893402576,34.65490143939376,0.000345667933288496,0.00036017482489114627,0.0014196380507200956,2.687875270843506,3.9295907020568848,0.07532897505203795,0.109375
